country_code,NY.GDP.PCAP.PP.KD,country_x,SE.SEC.ENRR,country_y,SE.XPD.TOTL.GD.ZS,country,hdi,life_expectancy,education_index,gni_per_capita,unemployment_rate,youth_unemployment,labor_force_participation
BLR,26731.4953813508,Belarus,95.0074691772461,Belarus,4.86263990402222,Belarus,,,,,,,
BLZ,10032.544497569,Belize,85.9464797973633,Belize,5.2163200378418,Belize,,,,,,,
BMU,88618.0830682257,Bermuda,80.4474080447408,Bermuda,1.89008772373199,Bermuda,,,,,,,
BOL,9000.97565203128,Bolivia,90.0048294067383,Bolivia,8.43710994720459,Bolivia,,,,,,,
BRA,17327.5157249466,Brazil,104.125999450684,Brazil,5.77150011062622,Brazil,0.759,75.9,0.726,14173.0,11.3,27.4,61.4
BRB,15749.0380167909,Barbados,104.71501159668,Barbados,4.16860008239746,Barbados,,,,,,,
BRN,80280.8979480569,Brunei Darussalam,86.9572627721675,Brunei Darussalam,4.42540979385376,Brunei Darussalam,,,,,,,
BTN,12979.9369485824,Bhutan,87.5288467407227,Bhutan,5.54341268539429,Bhutan,,,,,,,
BWA,16289.391360351,Botswana,,,8.05833625793457,Botswana,,,,,,,
CAF,1136.57052993758,Central African Republic,15.42516040802,Central African Republic,2.14468050003052,Central African Republic,,,,,,,
CAN,54092.8790317796,Canada,110.079071044922,Canada,4.88794994354248,Canada,,,,,,,
CEB,37324.5808923925,Central Europe and the Baltics,102.24365234375,Central Europe and the Baltics,4.72159004211426,Central Europe and the Baltics,,,,,,,
CHE,77324.8870934007,Switzerland,104.211616516113,Switzerland,5.27676010131836,Switzerland,0.955,83.8,0.924,68434.0,,,
CHL,26248.5616432825,Chile,103.691688537598,Chile,5.62993001937866,Chile,,,,,,,
CHN,19215.1541703465,China,93.3106079101562,China,4.2333812713623,China,,,,,,,
CIV,5787.81533309018,Cote d'Ivoire,54.652530670166,Cote d'Ivoire,3.78674006462097,Cote d'Ivoire,,,,,,,
CMR,4763.48194388066,Cameroon,45.259028706221,Cameroon,3.10390138626099,Cameroon,,,,,,,
COD,1277.63286345756,"Congo, Dem. Rep.",43.8240394592285,"Congo, Dem. Rep.",2.622638463974,"Congo, Dem. Rep.",,,,,,,
COG,6350.50913409722,"Congo, Rep.",65.6208031967423,"Congo, Rep.",4.61901378631592,"Congo, Rep.",,,,,,,
COL,15861.4999291295,Colombia,101.499450683594,Colombia,,,,,,,,,
COM,3424.53968859258,Comoros,62.8695006782177,Comoros,2.37805080413818,Comoros,,,,,,,
CPV,7207.86853962048,Cabo Verde,87.3078079223633,Cabo Verde,4.16529989242554,Cabo Verde,,,,,,,
CRI,22211.8613921833,Costa Rica,135.900039672852,Costa Rica,6.62898015975952,Costa Rica,,,,,,,
CSS,22176.6646476983,Caribbean small states,84.7753982543945,Caribbean small states,4.2576699256897,Caribbean small states,,,,,,,
CUB,,,102.037956237793,Cuba,9.04696941375732,Cuba,,,,,,,
